,category,date&time,description,link,title
42,economics,"Sun, 08 Aug 2010 14:02:56 GMT","India has inflation and it reflects the fundamental growth, Christopher Wood, equity strategist, CLSA, said at ET Now Mkt Summit-2010.

",https://economictimes.indiatimes.com/inflation-reflects-growth-dynamics-in-india-christopher-wood/articleshow/6274053.cms,Inflation reflects growth dynamics in India: Christopher Wood
43,economics,"Sun, 08 Aug 2010 19:35:47 GMT",Market may see range-bound trading this week in the absence of any major trigger.,https://economictimes.indiatimes.com/market-may-trade-in-a-range-but-fiis-seen-sold-on-india/articleshow/6277705.cms,"Market may trade in a range, but FIIs seen sold on India"
44,economics,"Sun, 08 Aug 2010 22:25:00 GMT","Many experts believe that looking at PE ratio in isolation won’t help investors grasp realities of the mkt and higher valuation may not be the only deciding factor driving mkt. 
",https://economictimes.indiatimes.com/dont-bank-only-on-price-to-earning-ratio/articleshow/6278228.cms,'Don't bank only on price-to-earning ratio'
45,economics,"Fri, 05 Dec 2008 18:30:00 GMT",Prabhudas Lilladher has a ‘reduce’ rating on Infosys Technologies as it feels that the outlook for the company and the software industry is quite weak in the near-term.,https://economictimes.indiatimes.com/markets/stocks/recos/prabhudas-lilladher-has-a-reduce-rating-on-infosys/articleshow/3798718.cms,Prabhudas Lilladher has a reduce rating on Infosys
46,economics,"Thu, 04 Dec 2008 20:35:00 GMT",A crisis of $240 trillion cannot be stemmed with bailout packages of $1 to $10 trillion. 2008: Year of global financial crisis | Survive credit crisis | Ghosts of 1929,https://economictimes.indiatimes.com/markets/stocks/recos/fin-crisis-too-late-and-too-little-done-in-us/articleshow/3794549.cms,Fin Crisis: Too late and too little done in US
47,economics,"Wed, 01 Oct 2008 03:10:42 GMT","The falling rupee will severely affect the small companies, whereas the big ones will be impacted moderately. Get rid of Debt | Adopt correct investment strategies",https://economictimes.indiatimes.com/markets/forex/weak-rupee-takes-its-toll-on-cos-with-huge-foreign-debt/articleshow/3546158.cms,Weak rupee takes its toll on cos with huge foreign debt
48,economics,"Sun, 27 Jul 2008 22:40:49 GMT","At the recent low of 12514 points, the Sensex has tested the 12800-12000-pts support zone and has since then attempted a corrective rally.",https://economictimes.indiatimes.com/markets/stocks/recos/wait-for-more-signals-before-turning-positive/articleshow/3292640.cms,Wait for more signals before turning positive
49,economics,"Wed, 02 Jul 2008 13:55:05 GMT","BusinessWeek's 'The Infotech 100', has ranked Bharti Airtel at the 21st position followed by Reddington India (55th) and RCom (66th). Successful business formula",https://economictimes.indiatimes.com/news/company/corporate-trends/six-indian-cos-among-businessweeks-top-100-infotech-firms/articleshow/3189334.cms,Six Indian cos among BusinessWeek's top 100 Infotech firms
50,economics,"Sun, 29 Jun 2008 06:08:01 GMT",14 firms present in a new list of world's 500 most valued firms together seeing an erosion of about $150 billion in their market value in the first three months of this year.,https://economictimes.indiatimes.com/news/company/corporate-trends/indian-firms-slip-in-global-ranking-four-move-out-of-top-500/articleshow/3177077.cms,Indian firms slip in global ranking; four move out of Top-500
51,economics,"Fri, 13 Aug 2010 22:05:24 GMT","Shares of Cipla inched up on heavy volumes on Friday, after the company’s first quarter earnings beat the consensus estimate.",https://economictimes.indiatimes.com/markets/stocks/news/big-daddy-laps-up-cipla-after-q1-nos-beat-forecast/articleshow/6308646.cms,'Big Daddy' laps up Cipla after Q1 nos beat forecast
52,economics,"Fri, 13 Aug 2010 21:56:46 GMT","The Old Fox of Dalal Street has been on a dream run since the past couple of weeks. On Friday, most stocks that he had been steadily building up positions in figured among key gainers of the day.",https://economictimes.indiatimes.com/markets/stocks/news/old-fox-has-dream-run-on-dalal-street/articleshow/6308631.cms,Old Fox has dream run on Dalal Street
53,economics,"Fri, 13 Aug 2010 14:41:07 GMT","The scrip, which was flat for most of the session, shot up in the final hour of trade on the Bombay Stock Exchange to settle with a net gain of 4.36 per cent at Rs 355.45.",https://economictimes.indiatimes.com/markets/stocks/news/cairn-india-hits-record-high-on-bse-amid-stake-sale-talks/articleshow/6306679.cms,Cairn India hits record high on BSE amid stake sale talks
54,economics,"Fri, 13 Aug 2010 13:56:27 GMT","In the late afternoon session, the scrip was being traded at 20.61 pounds, down by 5.50 per cent on the LSE. Vedanta opened on a positive note, but soon swung into the red.",https://economictimes.indiatimes.com/markets/stocks/news/vedanta-plunges-5-59-per-cent-on-lse-amid-talks-to-buy-cairn-stake/articleshow/6306526.cms,Vedanta plunges 5.59% on LSE amid talks to buy Cairn stake
55,economics,"Fri, 13 Aug 2010 13:17:42 GMT","In the past two days, the scrip recorded a gain of over 9 per cent on the BSE, making its investors richer by a whopping Rs 15,000 crore.
",https://economictimes.indiatimes.com/markets/stocks/news/sbi-shares-on-gaining-spree-hit-record-high/articleshow/6306241.cms,SBI shares on gaining spree; hit record high
56,economics,"Fri, 05 Mar 2010 00:02:47 GMT",TT Ram Mohan has rightly suggested that the tax-GDP ratio measures structural improvement. The FM must rethink his medium-term debtto-GDP target. ,https://economictimes.indiatimes.com/fm-must-rethink/articleshow/5645094.cms,FM must rethink
57,economics,"Fri, 05 Mar 2010 00:01:28 GMT",Financial inclusion and financial literacy will be the paramount objective while implementing reforms along with UID project to protect the interests of poor. ,https://economictimes.indiatimes.com/amalgamate-banks/articleshow/5645086.cms,Amalgamate banks
58,economics,"Mon, 12 Oct 2009 21:10:52 GMT","This refers to your edit ‘A welcome quest’ (ET, Oct 8). It is imperative to have a strong database.",https://economictimes.indiatimes.com/managing-data/articleshow/5117958.cms,Managing data
59,economics,"Mon, 12 Oct 2009 21:09:54 GMT","Apropos of ‘The climate conundrum’ (ET, Oct 9), Mukul Sanwal rightly suggests that developing countries should lead in setting the agenda for global technological cooperation.",https://economictimes.indiatimes.com/right-technology/articleshow/5117957.cms,Right technology
60,economics,"Tue, 06 Aug 2013 08:15:00 GMT",Rupee#CAD#Economic crisis#Food Bill,https://economictimes.indiatimes.com/et-search/articleshow/21646857.cms,ET Search
61,economics,"Tue, 28 Feb 2012 19:12:07 GMT","The team behind The Artist will have spent the first day of the rest of their lives conforming to the grandest, and most lucrative, of Hollywood traditions. ",https://economictimes.indiatimes.com/after-the-oscars-whats-next-for-silent-stars-of-the-artist/articleshow/12075465.cms,"After the Oscars, what's next for silent stars of The Artist?"
62,economics,"Sat, 25 Feb 2012 02:08:37 GMT","It's the World Book fair, which comes around once every two years sprawling across the giant halls of Pragati Maidan.  This is the fair's 20th edition.",https://economictimes.indiatimes.com/delhi-world-book-fair-a-fair-like-no-other/articleshow/12028630.cms,Delhi World Book fair: A fair like no other
63,economics,"Fri, 24 Feb 2012 08:09:49 GMT","An elephant figurine gifted by the then HM LK Advani to US Secretary of State Colin Powell in 2002, has made its way to the State Department hall.",https://economictimes.indiatimes.com/lk-advanis-gift-makes-its-way-to-state-department-exhibition-hall/articleshow/12017534.cms,Indian gift makes its way to State Department exhibition
64,economics,"Tue, 21 Feb 2012 20:49:54 GMT","Statistical models used by IMD will still be used for monsoon forecast, but the ministry of earth sciences is putting more emphasis on dynamic models.",https://economictimes.indiatimes.com/india-meteorological-department-to-use-dynamic-models-for-forecasts/articleshow/11983844.cms,IMD to use dynamic models for forecasts
65,economics,"Tue, 21 Feb 2012 09:49:25 GMT","Newly discovered documents have revealed the first telegraph messages and joy when England was linked for the first time with India on 23 June, 1870. ",https://economictimes.indiatimes.com/documents-reveal-contents-of-the-first-telegraph-message-between-india-england/articleshow/11976488.cms,Docs reveal contents of first wire msg between India & Eng
66,economics,"Mon, 20 Feb 2012 10:57:34 GMT",Hundreds of worried fans of ailing Bollywood megastar Amitabh Bachchan today performed a yagna here to pray for his speedy recovery.,https://economictimes.indiatimes.com/worried-amitabh-bachchan-fans-pray-to-lord-shiva-for-his-recovery/articleshow/11963187.cms,Worried Amitabh Bachchan fans pray to Lord Shiva for his recovery
67,economics,"Sun, 01 Jun 2014 22:30:07 GMT","""The fact that we are the world’s largest democracy and we are all aware that power and a role in global affairs for a nation comes from economic strength.""",https://economictimes.indiatimes.com/opinion/interviews/every-decision-of-government-neednt-be-a-big-reform-anand-mahindra/articleshow/35919571.cms,Every decision of government needn’t be a big reform: Anand Mahindra
68,economics,"Tue, 03 Jun 2014 00:04:35 GMT","Ambassador Joao Cravinho, head of the EU delegation, led Ambassadors of various European countries to a quiet lunch with Modi at the capital last year.",https://economictimes.indiatimes.com/opinion/interviews/narendra-modi-has-his-eyes-set-on-boosting-business-joao-cravinho-eu-ambassador/articleshow/35973824.cms,"Narendra Modi has his eyes set on boosting business: Joao Cravinho, EU Ambassador"
69,economics,"Mon, 02 Jun 2014 08:57:23 GMT","""It is the collective wisdom of the marketplace that there is action and we will move with speed. That improves the confidence level of industry.""",https://economictimes.indiatimes.com/opinion/interviews/confidence-level-of-industry-improving-kv-kamath-icici-bank/articleshow/35945669.cms,"Confidence level of industry improving: KV Kamath, ICICI Bank"
70,economics,"Mon, 02 Jun 2014 02:30:11 GMT","Directives from the Centre have to be executed at the state level. So, there are many things that are not in Modi’s hands, says Raamdeo Agrawal.",https://economictimes.indiatimes.com/opinion/interviews/we-may-see-rapid-growth-over-the-next-few-years-raamdeo-agrawal/articleshow/35831378.cms,We may see rapid growth over the next few years: Raamdeo Agrawal
71,economics,"Fri, 30 May 2014 22:30:25 GMT","""Now there is a stage three and stage four of digitisation, we will take a call on this only after taking all things into account.""",https://economictimes.indiatimes.com/opinion/interviews/our-commitment-for-press-freedom-and-autonomy-of-public-broadcast-is-absolute-prakash-javadekar/articleshow/35803396.cms,"Our commitment for press freedom, and autonomy of public broadcast is absolute: Prakash Javadekar"
72,economics,"Thu, 29 May 2014 07:10:06 GMT","""There is a leadership vacuum in the company, because they made the wrong choice of CEO three years ago and that is playing out right now.""",https://economictimes.indiatimes.com/opinion/interviews/there-is-a-leadership-vacuum-in-infosys-time-to-get-nandan-nilekani-back-mohandas-pai/articleshow/35716682.cms,"There is a leadership vacuum in Infosys, time to get Nandan Nilekani back: Mohandas Pai"
73,economics,"Fri, 01 Sep 2017 08:45:53 GMT",Benefits including increased tax compliance will likely play out in the medium term.,https://economictimes.indiatimes.com/markets/stocks/news/gdp-print-demo-data-adverse-but-d-street-still-sees-silver-lining-how/articleshow/60322440.cms,"GDP print, DeMo data adverse; but D-Street still sees silver lining. How?"
74,economics,"Wed, 19 Apr 2017 01:52:52 GMT","TCS, India’s largest technology firm by revenue, on Tuesday reported a 2.5 per cent sequential drop in net profit at Rs 6,608 crore for the quarter ended March 31, 2017.",https://economictimes.indiatimes.com/markets/stocks/news/opening-bell-top-cues-that-changed-your-market-while-you-were-sleeping/articleshow/58251834.cms,Opening Bell: Top cues that changed your market while you were sleeping
75,economics,"Mon, 01 Aug 2016 05:23:52 GMT",Uber will reportedly continue to operate its own app in China for now. Uber declined to comment on this to the publication.,https://economictimes.indiatimes.com/news/international/business/uber-merging-china-operations-with-ola-investor-didi-chuxing-in-a-35-billion-deal/articleshow/53485760.cms,Uber merging China ops with Didi in $35 bn deal
76,economics,"Mon, 01 Aug 2016 05:48:00 GMT",The apex court also directed six former chief ministers of Uttar Pradesh to vacate government houses allotted to them.,https://economictimes.indiatimes.com/news/politics-and-nation/no-government-accommodation-for-former-chief-ministers-supreme-court/articleshow/53486108.cms,No government accommodation for former CMs: SC
77,economics,"Mon, 01 Aug 2016 05:49:49 GMT","The seasonally adjusted Nikkei India Manufacturing Purchasing Managers Index edged higher in July, at 51.8 compared with 51.7 in June.",https://economictimes.indiatimes.com/news/economy/finance/manufacturing-pmi-at-4-month-high-of-51-8-in-july/articleshow/53486134.cms,Manufacturing PMI at 4 month high of 51.8 in July
78,economics,"Sun, 12 Jun 2016 05:20:10 GMT",Slowing rural demand after two rain deficit years might be weighing down Splendor's sales but Honda says there is more to these results than El Nino.,https://economictimes.indiatimes.com/industry/auto/news/two-wheelers/scooters-mopeds/scooters-back-with-new-hero-on-road/articleshow/52711166.cms,"Scooter's back, with new hero on road"
79,economics,"Tue, 10 Jan 2012 12:19:11 GMT","Alfa Laval (India) today said its parent firm has raised the delisting offer price to Rs 2,850 a share.
",https://economictimes.indiatimes.com/markets/stocks/news/alfa-laval-raises-delisting-price-to-rs-2850-a-share/articleshow/11437373.cms,"Alfa raises delisting price to Rs 2,850 a share"
80,economics,"Tue, 29 Nov 2011 22:25:23 GMT",The stocks of DB Realty and Unitech rose after top executives of these companies were granted bail in the 2G scam case. ,https://economictimes.indiatimes.com/markets/stocks/news/db-realty-unitech-stocks-rose-after-top-executives-granted-bail-in-2g-scam/articleshow/10925114.cms,"DB Realty, Unitech stocks rose"
81,economics,"Thu, 20 Oct 2011 15:30:11 GMT",Fitch on Friday said it has withdrawn the ratings on Reliance Capital as the company has decided to stop participating.,https://economictimes.indiatimes.com/markets/stocks/news/fitch-withdraws-reliance-capital-ratings/articleshow/10430814.cms,Fitch withdraws Reliance Capital ratings
82,economics,"Thu, 20 Oct 2011 14:32:51 GMT","The poor financial health of state electricity boards could pose significant business risks for power traders in the country, says Fitch.
",https://economictimes.indiatimes.com/markets/stocks/news/discoms-poor-financial-health-poses-risks-for-power-traders-fitch/articleshow/10430186.cms,'Discoms' poor fin health poses risks for traders'
